top1	top2	top5	top10	top20	top50	top100	other	evaluated	skipped	gamma
0.5425	0.67875	0.81375	0.87375	0.91125	0.94375	0.97375	0.02625	800	0	0.0
0.625	0.7325	0.85125	0.91625	0.9475	0.96625	0.99625	0.00375	800	0	0.02
0.6275	0.73375	0.85375	0.91625	0.9575	0.98	0.99875	0.00125	800	0	0.04
0.62	0.7325	0.85	0.9175	0.95875	0.99375	0.99875	0.00125	800	0	0.06
0.615	0.73	0.83875	0.91125	0.9625	0.99	0.99875	0.00125	800	0	0.08
0.61125	0.725	0.8375	0.90375	0.96125	0.99125	0.99625	0.00375	800	0	0.1
0.60875	0.7225	0.83625	0.90125	0.96125	0.99	0.995	0.005	800	0	0.12
0.6075	0.71875	0.82875	0.895	0.9575	0.99	0.99375	0.00625	800	0	0.14
0.6	0.71375	0.83	0.89	0.95375	0.98625	0.99375	0.00625	800	0	0.16
0.595	0.70875	0.82875	0.88125	0.94625	0.985	0.99375	0.00625	800	0	0.18
0.59	0.705	0.82125	0.8775	0.94125	0.98125	0.9925	0.0075	800	0	0.2
0.58125	0.70125	0.81125	0.88	0.93625	0.98125	0.99	0.01	800	0	0.22
0.57875	0.69625	0.80875	0.87875	0.9325	0.98125	0.99	0.01	800	0	0.24
0.57625	0.6975	0.8025	0.875	0.92875	0.97875	0.9875	0.0125	800	0	0.26
0.57125	0.69125	0.795	0.86875	0.92125	0.9775	0.9875	0.0125	800	0	0.28
0.565	0.69	0.785	0.86625	0.91875	0.97375	0.98625	0.01375	800	0	0.3
